7,289,188
25,227,226
27,516,41
28,617,49
29,409,54
30,322,81
33,258,169
35,2,218
56,709,82
110,285,267
113,155,87
114,407,255
124,39,61
130,193,176
133,823,225
157,689,128
158,599,102
159,509,93
160,409,106
161,344,125
163,338,216
173,771,170
190,807,143
225,2074,225
226,90,199
243,849,229
246,296,146
247,235,120
249,2009,190
257,1783,41
258,1683,50
259,1890,54
260,1977,81
263,2042,170
265,2296,211
286,1591,82
339,2014,267
342,2151,89
353,2260,61
359,2107,178
362,1486,222
373,1891,254
384,1610,130
385,1704,102
386,1791,95
387,1890,108
388,1961,129
390,1960,216
398,1529,173
414,1494,143
446,2211,201
463,1451,229
466,2007,150
467,2064,122
