61,1564,2421
185,1607,2351
40,1698,2305
39,1801,2267
37,1932,2240
0,2048,2249
267,2163,2239
269,2294,2267
270,2387,2306
409,2489,2351
291,2531,2420
375,2473,2485
321,2383,2525
405,2273,2568
314,2161,2591
17,2048,2593
84,1934,2591
181,1822,2569
91,1713,2525
146,1622,2485
227,422,1496
137,440,1790
177,466,2096
213,774,2221
192,933,2374
214,1144,2503
216,1378,2216
206,1463,2051
203,1552,1927
129,1626,1821
142,1568,1659
100,1524,1513
120,1510,1406
231,1499,1320
230,1364,1353
229,1219,1349
228,1097,1314
31,1014,1257
111,896,1358
116,731,1450
123,776,1721
147,771,1986
187,1014,2039
207,1209,2121
205,1309,1912
36,1457,1764
101,1369,1606
119,1363,1462
118,1171,1491
117,1013,1448
50,1133,1754
451,2594,1320
349,2584,1407
329,2570,1524
371,2531,1658
358,2469,1822
423,2542,1926
266,2637,1766
330,2724,1607
348,2732,1461
450,2729,1352
449,2874,1350
347,2923,1490
280,2961,1754
425,2786,1912
426,2632,2050
436,2716,2214
427,2885,2120
411,3080,2038
352,3321,1722
346,3083,1447
448,2999,1313
261,3080,1257
340,3199,1358
345,3365,1449
447,3672,1496
366,3655,1789
401,3628,2094
10,2048,14
356,4016,1220
454,4066,1545
323,4038,1868
361,3963,2215
288,3820,2566
397,3570,2819
365,3284,2982
379,3006,3138
378,2790,3254
400,2558,3361
377,2326,3444
152,2047,3485
148,1765,3442
176,1537,3361
149,1307,3254
150,1090,3137
136,812,2983
172,525,2818
58,275,2565
132,132,2214
93,57,1869
61,1564,2421
185,1607,2351
40,1698,2305
39,1801,2267
37,1932,2240
0,2048,2249
267,2163,2239
269,2294,2267
270,2387,2306
409,2489,2351
291,2531,2420
375,2473,2485
321,2383,2525
405,2273,2568
314,2161,2591
17,2048,2593
84,1934,2591
181,1822,2569
91,1713,2525
146,1622,2485
227,422,1496
137,440,1790
177,466,2096
213,774,2221
192,933,2374
214,1144,2503
216,1378,2216
206,1463,2051
203,1552,1927
129,1626,1821
142,1568,1659
100,1524,1513
120,1510,1406
231,1499,1320
230,1364,1353
229,1219,1349
228,1097,1314
31,1014,1257
111,896,1358
116,731,1450
123,776,1721
147,771,1986
187,1014,2039
207,1209,2121
205,1309,1912
36,1457,1764
101,1369,1606
119,1363,1462
118,1171,1491
117,1013,1448
50,1133,1754
451,2594,1320
349,2584,1407
329,2570,1524
371,2531,1658
358,2469,1822
423,2542,1926
266,2637,1766
330,2724,1607
348,2732,1461
450,2729,1352
449,2874,1350
347,2923,1490
280,2961,1754
425,2786,1912
426,2632,2050
436,2716,2214
427,2885,2120
411,3080,2038
352,3321,1722
346,3083,1447
448,2999,1313
261,3080,1257
340,3199,1358
345,3365,1449
447,3672,1496
366,3655,1789
401,3628,2094
10,2048,14
356,4016,1220
454,4066,1545
323,4038,1868
361,3963,2215
288,3820,2566
397,3570,2819
365,3284,2982
379,3006,3138
378,2790,3254
400,2558,3361
377,2326,3444
152,2047,3485
148,1765,3442
176,1537,3361
149,1307,3254
150,1090,3137
136,812,2983
172,525,2818
58,275,2565
132,132,2214
93,57,1869
234,30,1546
