7,1187,1134
163,981,1139
144,1308,1197
145,1406,1215
153,1501,1209
154,1610,1195
155,1681,1177
133,1716,1160
173,1674,1107
157,1591,1058
158,1498,1034
159,1406,1030
160,1306,1042
161,1235,1062
246,1186,1083
33,1148,1113
25,1124,1168
110,1183,1210
24,1274,1252
23,1388,1266
22,1498,1252
26,1611,1228
112,1690,1210
243,1747,1172
190,1705,1086
56,1608,1025
28,1516,992
27,1414,984
29,1307,997
30,1220,1023
247,1133,1064
130,1092,1120
226,988,1143
113,1053,1030
225,1162,940
224,1281,896
223,1410,886
222,1546,896
221,1698,948
193,1919,1019
189,1788,1050
244,1799,1199
245,1843,1216
128,1745,1298
233,1721,1255
114,1751,1368
188,1853,1299
122,1952,1238
249,2909,1135
390,2862,1161
373,2791,1198
374,2689,1216
380,2597,1209
381,2485,1196
382,2415,1177
362,2379,1160
398,2422,1107
384,2504,1058
385,2597,1034
386,2690,1030
387,2790,1042
388,2861,1063
466,2910,1084
263,2948,1114
255,2972,1170
339,2912,1209
254,2821,1253
253,2708,1266
252,2597,1252
256,2484,1228
341,2405,1209
463,2349,1171
414,2391,1086
286,2487,1025
258,2581,992
257,2681,985
259,2789,998
260,2875,1023
467,2963,1063
359,3004,1121
446,3108,1143
342,3043,1031
445,2934,939
444,2814,896
443,2686,887
442,2552,897
441,2398,947
417,2177,1020
413,2309,1050
464,2296,1195
465,2251,1212
351,2145,1236
412,2242,1297
343,2344,1367
357,2349,1296
453,2375,1254
