227,422,1496
137,440,1790
177,466,2096
213,774,2221
192,933,2374
214,1144,2503
216,1378,2216
206,1463,2051
203,1552,1927
129,1626,1821
142,1568,1659
100,1524,1513
120,1510,1406
231,1499,1320
230,1364,1353
229,1219,1349
228,1097,1314
31,1014,1257
111,896,1358
116,731,1450
123,776,1721
147,771,1986
187,1014,2039
207,1209,2121
205,1309,1912
36,1457,1764
101,1369,1606
119,1363,1462
118,1171,1491
117,1013,1448
50,1133,1754
451,2594,1320
349,2584,1407
329,2570,1524
371,2531,1658
358,2469,1822
423,2542,1926
266,2637,1766
330,2724,1607
348,2732,1461
450,2729,1352
449,2874,1350
347,2923,1490
280,2961,1754
425,2786,1912
426,2632,2050
436,2716,2214
427,2885,2120
411,3080,2038
352,3321,1722
346,3083,1447
448,2999,1313
261,3080,1257
340,3199,1358
345,3365,1449
447,3672,1496
366,3655,1789
401,3628,2094
