61,1564,2421
185,1607,2351
40,1698,2305
39,1801,2267
37,1932,2240
0,2048,2249
267,2163,2239
269,2294,2267
270,2387,2306
409,2489,2351
291,2531,2420
375,2473,2485
321,2383,2525
405,2273,2568
314,2161,2591
17,2048,2593
84,1934,2591
181,1822,2569
91,1713,2525
146,1622,2485
76,1589,2418
184,1641,2365
74,1731,2336
73,1830,2314
72,1936,2304
11,2048,2303
302,2159,2303
303,2265,2314
304,2364,2336
408,2454,2365
306,2507,2418
307,2445,2469
320,2364,2491
404,2265,2507
315,2159,2515
16,2048,2522
85,1939,2515
180,1832,2507
90,1733,2490
77,1651,2469
62,1608,2419
183,1667,2385
42,1756,2371
41,1844,2364
38,1942,2362
12,2049,2357
268,2154,2362
271,2251,2363
272,2340,2371
407,2430,2385
292,2488,2419
325,2418,2451
319,2350,2457
403,2260,2462
316,2159,2461
15,2048,2466
86,1937,2462
179,1835,2462
89,1745,2457
96,1679,2450
78,1652,2418
191,1694,2411
80,1769,2411
81,1853,2410
82,1947,2411
13,2048,2411
312,2149,2412
311,2244,2411
310,2330,2411
415,2402,2411
308,2443,2418
324,2403,2430
318,2343,2435
402,2258,2440
317,2158,2440
14,2047,2440
87,1938,2440
178,1837,2440
88,1753,2435
95,1692,2430
